"Story","Title","Result","Date","Stability","Duration (s)"
"Category","Category list","SUCCESS","2022-10-29T18:11:57.35567+07:00[Asia/Jakarta]","0.0","12.43"
"Home","Home detail product","SUCCESS","2022-10-29T18:12:10.5877439+07:00[Asia/Jakarta]","0.0","5.53"
"Home","Home product to buy","SUCCESS","2022-10-29T18:12:16.8314775+07:00[Asia/Jakarta]","0.0","4.54"
"Home","Transaction list","SUCCESS","2022-10-29T18:12:22.0105115+07:00[Asia/Jakarta]","0.0","4.05"
"Home","Transaction list without login","SUCCESS","2022-10-29T18:12:26.7093706+07:00[Asia/Jakarta]","0.0","2.69"
"Login","Login with email and password","SUCCESS","2022-10-29T18:12:30.0596285+07:00[Asia/Jakarta]","0.0","24.23"
"Logout","Logout","SUCCESS","2022-10-29T18:12:54.307488+07:00[Asia/Jakarta]","0.0","4.0"
"Order","Order product","SUCCESS","2022-10-29T18:12:58.9610793+07:00[Asia/Jakarta]","0.0","5.99"
"Register","Register account","SUCCESS","2022-10-29T18:13:05.5929452+07:00[Asia/Jakarta]","0.0","27.29"
